Country_Name;Year;Population
Aruba;1970;59065
Andorra;1970;24279
Afghanistan;1970;11121097
Angola;1970;6300969
Albania;1970;2135479
Arab World;1970;122128175
United Arab Emirates;1970;235434
Argentina;1970;23973062
Armenia;1970;2518408
American Samoa;1970;27292
Antigua and Barbuda;1970;65369
Australia;1970;12507000
Austria;1970;7467086
Azerbaijan;1970;5178160
Burundi;1970;3457113
Belgium;1970;9655549
Benin;1970;2907769
Burkina Faso;1970;5624597
Bangladesh;1970;65048701
Bulgaria;1970;8489574
Bahrain;1970;213102
Bahamas, The;1970;169356
Bosnia and Herzegovina;1970;3745637
Belarus;1970;9040000
Belize;1970;122179
Bermuda;1970;55000
Bolivia;1970;4505774
Brazil;1970;95982453
Barbados;1970;238847
Brunei Darussalam;1970;129729
Bhutan;1970;291457
Botswana;1970;693021
Central African Republic;1970;1828710
Canada;1970;21324000
Central Europe and the Baltics;1970;99133296
Switzerland;1970;6180877
Channel Islands;1970;121196
Chile;1970;9561868
China;1970;818315000
Cote d'Ivoire;1970;5241914
Cameroon;1970;6770967
Congo, Rep.;1970;1335090
Colombia;1970;22061214
Comoros;1970;228443
Cabo Verde;1970;270197
Costa Rica;1970;1848873
Caribbean small states;1970;4882583
Cuba;1970;8715123
Curacao;1970;144739
Cayman Islands;1970;9144
Cyprus;1970;613619
Czech Republic;1970;9858071
Germany;1970;78169289
Djibouti;1970;159667
Dominica;1970;71076
Denmark;1970;4928757
Dominican Republic;1970;4503114
Algeria;1970;14550033
East Asia & Pacific (excluding high income);1970;1116250866
Early-demographic dividend;1970;1246583735
East Asia & Pacific;1970;1289404691
Europe & Central Asia (excluding high income);1970;313854674
Europe & Central Asia;1970;737511115
Ecuador;1970;6072520
Egypt, Arab Rep.;1970;34808599
Euro area;1970;287416203
Spain;1970;33814531
Estonia;1970;1360076
Ethiopia;1970;28414999
European Union;1970;442062264
Fragile and conflict affected situations;1970;152456401
Finland;1970;4606307
Fiji;1970;520529
France;1970;52035095
Faroe Islands;1970;38587
Micronesia, Fed. Sts.;1970;61433
Gabon;1970;590119
United Kingdom;1970;55663250
Georgia;1970;3967800
Ghana;1970;8596977
Gibraltar;1970;24661
Guinea;1970;4215442
Gambia, The;1970;447283
Guinea-Bissau;1970;711828
Equatorial Guinea;1970;290905
Greece;1970;8792806
Grenada;1970;94430
Greenland;1970;46400
Guatemala;1970;5423384
Guam;1970;83880
Guyana;1970;695561
High income;1970;851290758
Hong Kong SAR, China;1970;3959000
Honduras;1970;2691309
Heavily indebted poor countries (HIPC);1970;208410359
Croatia;1970;4411000
Haiti;1970;4708639
Hungary;1970;10337910
IBRD only;1970;2307411444
IDA & IBRD total;1970;2861116444
IDA total;1970;553705000
IDA blend;1970;207250858
Indonesia;1970;114834781
IDA only;1970;346454142
Isle of Man;1970;56712
India;1970;553943226
Ireland;1970;2957250
Iran, Islamic Rep.;1970;28514011
Iraq;1970;9917982
Iceland;1970;204438
Israel;1970;2974000
Italy;1970;53821850
Jamaica;1970;1869000
Jordan;1970;1654769
Japan;1970;104345000
Kazakhstan;1970;12757245
Kenya;1970;11252466
Kyrgyz Republic;1970;2959900
Cambodia;1970;7022185
Kiribati;1970;51181
St. Kitts and Nevis;1970;44882
Korea, Rep.;1970;32240827
Kosovo;1970;1219000
Latin America & Caribbean (excluding high income);1970;270922368
Lao PDR;1970;2686025
Lebanon;1970;2297403
Liberia;1970;1419728
Libya;1970;2114264
St. Lucia;1970;104162
Latin America & Caribbean;1970;287773317
Least developed countries: UN classification;1970;308870065
Low income;1970;195784159
Liechtenstein;1970;21266
Sri Lanka;1970;12514000
Lower middle income;1970;1190833082
Low & middle income;1970;2833705952
Lesotho;1970;1032240
Late-demographic dividend;1970;1340256276
Lithuania;1970;3139689
Luxembourg;1970;339171
Latvia;1970;2359164
Macao SAR, China;1970;250997
St. Martin (French part);1970;5450
Morocco;1970;16039600
Monaco;1970;23484
Moldova;1970;3044000
Madagascar;1970;6576301
Maldives;1970;115703
Middle East & North Africa;1970;138863307
Mexico;1970;52029859
Marshall Islands;1970;20397
Middle income;1970;2637921793
Macedonia, FYR;1970;1720798
Mali;1970;5949043
Malta;1970;302650
Myanmar;1970;27166045
Middle East & North Africa (excluding high income);1970;127718364
Montenegro;1970;512407
Mongolia;1970;1278825
Northern Mariana Islands;1970;13203
Mozambique;1970;9262078
Mauritania;1970;1148908
Mauritius;1970;826000
Malawi;1970;4603739
Malaysia;1970;10908634
North America;1970;226431000
Namibia;1970;780386
New Caledonia;1970;112000
Niger;1970;4497355
Nigeria;1970;56131844
Nicaragua;1970;2398095
Netherlands;1970;13038526
Norway;1970;3875763
Nepal;1970;11986974
Nauru;1970;6493
New Zealand;1970;2810700
OECD members;1970;892733697
Oman;1970;723850
Other small states;1970;11078167
Pakistan;1970;58094239
Panama;1970;1519293
Peru;1970;13341071
Philippines;1970;35804731
Palau;1970;11481
Papua New Guinea;1970;2434755
Poland;1970;32664300
Pre-demographic dividend;1970;240714208
Puerto Rico;1970;2718000
Korea, Dem. Peopleís Rep.;1970;14410400
Portugal;1970;8680431
Paraguay;1970;2474102
Pacific island small states;1970;1152035
Post-demographic dividend;1970;840831632
French Polynesia;1970;110496
Qatar;1970;109329
Romania;1970;20250398
Russian Federation;1970;130404000
Rwanda;1970;3754546
South Asia;1970;713115397
Saudi Arabia;1970;5836394
Sudan;1970;10232758
Senegal;1970;4217754
Singapore;1970;2074500
Solomon Islands;1970;160292
Sierra Leone;1970;2514151
El Salvador;1970;3668592
San Marino;1970;19136
Somalia;1970;3445420
Sub-Saharan Africa (excluding high income);1970;291844283
South Sudan;1970;3647097
Sub-Saharan Africa;1970;291897883
Small states;1970;17112785
Sao Tome and Principe;1970;74251
Suriname;1970;371268
Slovak Republic;1970;4538223
Slovenia;1970;1724891
Sweden;1970;8042801
Swaziland;1970;445844
Seychelles;1970;53600
Syrian Arab Republic;1970;6378802
Turks and Caicos Islands;1970;5632
Chad;1970;3644911
East Asia & Pacific (IDA & IBRD countries);1970;1101819667
Europe & Central Asia (IDA & IBRD countries);1970;350929974
Togo;1970;2115521
Thailand;1970;36884914
Tajikistan;1970;2919586
Turkmenistan;1970;2188499
Latin America & the Caribbean (IDA & IBRD countries);1970;275635159
Middle East & North Africa (IDA & IBRD countries);1970;127718364
Timor-Leste;1970;602737
Tonga;1970;84370
South Asia (IDA & IBRD);1970;713115397
Sub-Saharan Africa (IDA & IBRD countries);1970;291897883
Trinidad and Tobago;1970;945996
Tunisia;1970;5127000
Turkey;1970;34772031
Tuvalu;1970;7296
Tanzania;1970;13605504
Uganda;1970;9446024
Ukraine;1970;47086758
Upper middle income;1970;1447088711
Uruguay;1970;2809799
United States;1970;205052000
Uzbekistan;1970;11972994
St. Vincent and the Grenadines;1970;90457
Venezuela, RB;1970;11587758
British Virgin Islands;1970;9802
Virgin Islands (U.S.);1970;63000
Vietnam;1970;42729000
Vanuatu;1970;85388
Samoa;1970;143175
Yemen, Rep.;1970;6156234
South Africa;1970;22087000
Congo, Dem. Rep.;1970;20009902
Zambia;1970;4185378
Zimbabwe;1970;5206311
Aruba;1971;59438
Andorra;1971;25560
Afghanistan;1971;11412821
Angola;1971;6437645
Albania;1971;2187853
Arab World;1971;125439089
United Arab Emirates;1971;275160
Argentina;1971;24366442
Armenia;1971;2580894
American Samoa;1971;27916
Antigua and Barbuda;1971;66338
Australia;1971;12937000
Austria;1971;7500482
Azerbaijan;1971;5287272
Burundi;1971;3507593
Belgium;1971;9673162
Benin;1971;2971941
Burkina Faso;1971;5723379
Bangladesh;1971;66417450
Bulgaria;1971;8536395
Bahrain;1971;220808
Bahamas, The;1971;173867
Bosnia and Herzegovina;1971;3790948
Belarus;1971;9115576
Belize;1971;124792
Bermuda;1971;54600
