"Region","Group","Start","End","Incidents"
"Australasia & Oceania","Bougainville Revolutionary Army (BRA) | 0007",1992-08-02,1996-09-08,7
"Australasia & Oceania","Guadalcanal Liberation Front (GLF) | 0001",2002-08-22,2002-08-22,1
"Australasia & Oceania","Independence Advocates | 0001",1984-11-17,1984-11-17,1
"Australasia & Oceania","Informal Anarchist Federation | 0001",2013-09-02,2013-09-02,1
"Australasia & Oceania","Justice Commandos for the Armenian Genocide | 0001",1980-12-17,1980-12-17,1
"Australasia & Oceania","Rebel Military Unit | 0001",2000-11-02,2000-11-02,1
"Central America & Caribbean","Farabundo Marti National Liberation Front (FMLN) | 1222",1980-01-04,1992-10-27,1222
"Central America & Caribbean","Nicaraguan Democratic Force (FDN) | 0577",1983-03-15,1987-06-19,577
"Central America & Caribbean","Nicaraguan Resistance | 0113",1987-06-19,1990-03-23,113
"Central America & Caribbean","Democratic Revolutionary Alliance (ARDE) | 0112",1983-05-01,1986-02-16,112
"Central America & Caribbean","Sandinista National Liberation Front (FSLN) | 0049",1977-10-13,1979-06-05,49
"Central America & Caribbean","Contras | 0045",1981-12-01,1983-03-21,45
"Central America & Caribbean","Guatemalan National Revolutionary Unity (URNG) | 0035",1985-05-16,1996-01-16,35
"Central America & Caribbean","Revolutionary Organization of People in Arms (ORPA) | 0035",1979-11-29,1990-03-28,35
"Central America & Caribbean","Guerrilla Army of the Poor (EGP) | 0033",1975-11-01,1988-02-21,33
"Central America & Caribbean","Misurasata Indian Organization | 0020",1983-03-30,1985-01-14,20
"Central America & Caribbean","People's Liberation Forces (FPL) | 0014",1978-10-11,1979-10-29,14
"Central America & Caribbean","Ex-Somoza National Guard | 0012",1980-08-06,1981-12-09,12
"Central America & Caribbean","Rebel Armed Forces of Guatemala (FAR) | 0010",1983-12-07,1989-10-02,10
"Central America & Caribbean","Left-Wing Guerrillas | 0009",1980-07-27,1983-10-25,9
"Central America & Caribbean","Cinchoneros Popular Liberation Movement | 0006",1986-10-11,1991-05-26,6
"Central America & Caribbean","Gunmen | 0005",1995-10-13,2001-07-07,5
"Central America & Caribbean","Left-Wing Terrorists | 0005",1980-09-06,1984-01-15,5
"Central America & Caribbean","Recontras | 0005",1991-08-27,1996-07-14,5
"Central America & Caribbean","Revolutionary Armed Forces of Nicaragua (FARN) | 0005",1981-12-20,1983-03-24,5
"Central America & Caribbean","United Nicaraguan Opposition | 0005",1986-07-04,1986-07-05,5
"Central America & Caribbean","Lorenzo Zelaya Revolutionary Front (LZRF) | 0004",1981-09-23,1988-07-17,4
"Central America & Caribbean","Morazanist Front for the Liberation of Honduras (FMLH) | 0004",1983-09-03,1990-03-31,4
"Central America & Caribbean","Counter-revolutionaries | 0003",1979-12-27,1981-11-24,3
"Central America & Caribbean","Armed Forces of National Resistance (FARN) | 0002",1976-06-28,1979-10-30,2
"Central America & Caribbean","Kisan Indian Organization | 0002",1986-04-13,1986-08-20,2
"Central America & Caribbean","Patriotic Morazanista Front (FPM) | 0002",1989-04-11,1989-07-13,2
"Central America & Caribbean","Political Activists | 0002",1995-04-16,1996-07-02,2
"Central America & Caribbean","Popular Revolutionary Bloc (BPR) | 0002",1979-09-29,1980-04-17,2
"Central America & Caribbean","Recompras | 0002",1992-01-08,1992-01-28,2
"Central America & Caribbean","19th of July Christian Resistance Brigade | 0001",1981-06-25,1981-06-25,1
"Central America & Caribbean","20 December Movement (M-20) | 0001",1992-06-08,1992-06-08,1
"Central America & Caribbean","Andres Castro United Front | 0001",2000-03-16,2000-03-16,1
"Central America & Caribbean","Anti-Communist Patriotic Front | 0001",1980-07-23,1980-07-23,1
"Central America & Caribbean","Anti Somoza Gp, name unk | 0001",1982-05-14,1982-05-14,1
"Central America & Caribbean","Armed People | 0001",1995-03-12,1995-03-12,1
"Central America & Caribbean","Carlos Echeverria commando group | 0001",1981-03-17,1981-03-17,1
"Central America & Caribbean","Democratic Revolutionary Front (FDR) | 0001",1980-09-21,1980-09-21,1
"Central America & Caribbean","Dominican Popular Movement (MPD) | 0001",1970-03-24,1970-03-24,1
"Central America & Caribbean","Extremists | 0001",1981-07-16,1981-07-16,1
"Central America & Caribbean","Fanmi Lavalas | 0001",2002-05-07,2002-05-07,1
"Central America & Caribbean","Former Soldiers/Police | 0001",1995-02-14,1995-02-14,1
"Central America & Caribbean","Gang | 0001",1996-11-24,1996-11-24,1
"Central America & Caribbean","Guatemalan Labor Party (PGT) | 0001",1979-05-01,1979-05-01,1
"Central America & Caribbean","Guerrillas | 0001",1987-01-06,1987-01-06,1
"Central America & Caribbean","M-19 (Movement of April 19) | 0001",1985-08-20,1985-08-20,1
"Central America & Caribbean","Manuel Jose Arce Commando | 0001",1988-10-19,1988-10-19,1
"Central America & Caribbean","Miskito Indian Organization | 0001",1986-03-22,1986-03-22,1
"Central America & Caribbean","Nicaraguan  Revolutionary Armed Force | 0001",1984-04-01,1984-04-01,1
"Central America & Caribbean","Nicaraguan Counter Revolutionaries (group unk) | 0001",1981-10-16,1981-10-16,1
"Central America & Caribbean","People's Revolutionary Army (ERP) (El Salvador) | 0001",1979-02-01,1979-02-01,1
"Central America & Caribbean","Popular Anti-Communist Militias | 0001",1980-07-22,1980-07-22,1
"Central America & Caribbean","Revolutionary Armed Forces (FAR) | 0001",1983-12-14,1983-12-14,1
"Central America & Caribbean","Revolutionary Commandos of Solidarity | 0001",1977-04-11,1977-04-11,1
"Central America & Caribbean","Revolutionary United Front Movement | 0001",1989-02-18,1989-02-18,1
"Central America & Caribbean","Sandinistas | 0001",1983-03-26,1983-03-26,1
"Central America & Caribbean","Somozists | 0001",1980-12-21,1980-12-21,1
"Central America & Caribbean","Subversives | 0001",1981-07-16,1981-07-16,1
"Central Asia","Abkhazian Separatists | 0003",1992-09-19,1997-07-09,3
"Central Asia","Supporters of Ex-President Gamsakhurdial | 0003",1992-03-13,1992-07-06,3
"Central Asia","Algeisk Wolves | 0002",1995-04-09,1995-06-08,2
"Central Asia","Azerbaijan Guerrillas | 0002",1991-11-24,1992-05-26,2
"Central Asia","Gunmen | 0002",2000-11-30,2011-11-08,2
"Central Asia","Islamic Movement of Uzbekistan (IMU) | 0002",2000-08-12,2000-08-12,2
"Central Asia","Abkhazian guerrillas | 0001",1992-12-28,1992-12-28,1
"Central Asia","Armenian militants | 0001",1992-03-09,1992-03-09,1
"Central Asia","Georgian Militants | 0001",2001-07-22,2001-07-22,1
"Central Asia","Islamic Revival Movement | 0001",1995-09-28,1995-09-28,1
"Central Asia","Muslim Militants | 0001",1992-12-25,1992-12-25,1
"Central Asia","Taliban | 0001",2014-02-26,2014-02-26,1
