"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","region_txt","gname"
1970,0,1,0,7,0,0,0,1,8e+05,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,0,0,3,0,0,0,0,0,0,0,"South America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,1,0,0,0,0,"North America","Other"
1970,0,1,0,5,0,0,0,0,0,0,0,"South America","Other"
1970,0,1,0,3,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,2,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,3,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,1,1,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,3,0,1,0,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,7,9,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,0,7,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,47,0,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,2,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,1,0,0,1,"Central America & Caribbean","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,0,0,2,0,2,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,5,0,0,5,"Sub-Saharan Africa","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,1,1,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,1,1,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,1,0,0,17,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Middle East & North Africa","Other"
1970,0,1,0,4,0,1,0,1,7e+05,0,1,"Central America & Caribbean","Other"
1970,0,1,0,4,0,0,0,129,0,0,0,"East Asia","Other"
1970,0,1,0,4,0,0,0,1,0,0,1,"Sub-Saharan Africa","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","New World Liberation Front (NWLF)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Middle East & North Africa","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,2,0,2,0,0,0,0,"North America","Other"
1970,0,0,0,4,0,0,3,0,0,0,0,"North America","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,3,3,1,1,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Western Europe","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,10,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,1,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Eastern Europe","Other"
1970,0,1,0,4,0,1,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Eastern Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,4,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,2,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"South America","Other"
1970,0,0,0,1,0,1,0,0,0,0,0,"North America","Other"
1970,0,1,0,6,0,0,3,0,0,0,0,"North America","Jewish Defense League (JDL)"
1970,0,1,0,2,2,1,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,10,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,6,0,1,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,1,0,1,0,0,1,"South America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,1,0,0,0,0,0,"South America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Western Europe","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,1,0,0,1,"Middle East & North Africa","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Middle East & North Africa","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,1,1,0,4,0,0,0,60,0,0,60,"Middle East & North Africa","Other"
1970,1,1,0,4,0,0,0,60,0,0,60,"Middle East & North Africa","Other"
1970,0,0,0,4,0,0,1,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,5,0,0,0,0,0,0,0,"South America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,1,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,20,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,3,0,0,0,0,"North America","Other"
1970,0,1,0,1,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,2,2,1,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,1,0,0,0,0,0,"North America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Jewish Defense League (JDL)"
1970,0,0,0,4,0,5,0,0,0,0,0,"Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,3,0,0,0,0,0,"Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,3,1,0,0,0,0,"Western Europe","Ulster Volunteer Force (UVF)"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,1,1,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,0,0,1,0,1,0,0,0,0,0,"North America","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,4,0,0,0,1,0,0,0,"Central America & Caribbean","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,2,2,2,0,0,0,0,0,"North America","Other"
1970,0,1,0,3,0,0,0,0,0,0,0,"North America","Other"
1970,0,1,0,5,0,0,0,2,0,0,10,"South America","Other"
