"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1972,0,1,0,4,0,0,0,6,0,0,0,"Hostage Taking (Barricade Incident)","Government (Diplomatic)","Israel","Firearms","Automatic Weapon","Southeast Asia","Other"
1974,0,1,0,4,0,0,0,5,0,0,0,"Hostage Taking (Kidnapping)","Business","United States","Incendiary","Unknown","Southeast Asia","Other"
1975,0,1,0,4,0,0,0,1,13300,13300,0,"Hostage Taking (Kidnapping)","Business","Netherlands","Unknown","Unknown","Southeast Asia","Moro National Liberation Front (MNLF)"
1975,0,1,0,5,0,0,3,53,0,0,0,"Hostage Taking (Barricade Incident)","Government (Diplomatic)","United States","Firearms","Handgun","Southeast Asia","Other"
1975,0,1,0,4,0,0,0,1,27000,27000,1,"Hostage Taking (Kidnapping)","Airports & Aircraft","Japan","Unknown","Unknown","Southeast Asia","Moro National Liberation Front (MNLF)"
1975,0,1,0,10,0,0,0,6,0,0,6,"Hostage Taking (Kidnapping)","Maritime","Japan","Unknown","Unknown","Southeast Asia","Moro National Liberation Front (MNLF)"
1976,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Philippines","Incendiary","Unknown","Southeast Asia","New People's Army (NPA)"
1976,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Religious Figures/Institutions","Great Britain","Unknown","Unknown","Southeast Asia","Moro National Liberation Front (MNLF)"
1976,0,1,0,4,0,16,14,0,0,0,0,"Armed Assault","Transportation","Philippines","Firearms","Automatic Weapon","Southeast Asia","Moro National Liberation Front (MNLF)"
1976,0,1,0,4,0,3,0,0,0,0,0,"Armed Assault","Transportation","Philippines","Firearms","Automatic Weapon","Southeast Asia","Moro National Liberation Front (MNLF)"
1976,0,1,0,4,0,0,0,1,28000,0,1,"Hostage Taking (Kidnapping)","Business","Philippines","Unknown","Unknown","Southeast Asia","Moro National Liberation Front (MNLF)"
1976,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Philippines","Firearms","Automatic Weapon","Southeast Asia","New People's Army (NPA)"
1977,0,1,0,4,0,0,4,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Thailand","Explosives/Bombs/Dynamite","Unknown Explosive Type","Southeast Asia","Other"
1977,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Police","Philippines","Firearms","Automatic Weapon","Southeast Asia","New People's Army (NPA)"
1977,0,0,0,3,0,1,50,0,0,0,0,"Assassination","Government (General)","Thailand","Explosives/Bombs/Dynamite","Unknown Explosive Type","Southeast Asia","Other"
