"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1975,0,1,0,1,0,1,0,0,0,0,0,"Assassination","Government (General)","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1976,0,1,0,3,0,1,2,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Syria","Firearms","Automatic Weapon","South Asia","Other"
1977,0,1,0,5,0,0,0,146,6e+06,0,0,"Hijacking","Airports & Aircraft","Japan","Firearms","Unknown Gun Type","South Asia","Other"
1979,0,1,0,2,0,1,0,0,0,0,0,"Armed Assault","Police","Sri Lanka","Firearms","Handgun","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1979,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Sri Lanka","Firearms","Handgun","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1979,0,1,0,2,0,0,1,0,0,0,0,"Armed Assault","Transportation","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1979,0,1,0,4,0,3,0,0,0,0,0,"Bombing/Explosion","Transportation","India","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Other"
1979,0,1,0,4,0,4,0,0,0,0,0,"Armed Assault","Police","India","Firearms","Automatic Weapon","South Asia","Other"
1979,0,1,0,4,0,3,1,0,0,0,0,"Armed Assault","Police","India","Firearms","Automatic Weapon","South Asia","Other"
1980,0,1,0,4,0,6,0,0,0,0,0,"Bombing/Explosion","Police","India","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Other"
1981,0,1,0,1,26,6,2,0,0,0,0,"Assassination","Government (General)","Bangladesh","Firearms","Handgun","South Asia","Other"
1981,0,1,0,4,0,0,2,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","India","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Other"
1983,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1984,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Other"
1984,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1984,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1984,0,0,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Business","India","Unknown","Unknown","South Asia","Other"
1984,0,1,0,4,0,11,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Sri Lanka","Firearms","Unknown Gun Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
1985,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Sri Lanka","Explosives/Bombs/Dynamite","Unknown Explosive Type","South Asia","Liberation Tigers of Tamil Eelam (LTTE)"
