"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1972,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Tourists","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Croatian Nationalists"
1982,0,1,0,4,0,0,3,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Israel","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Other"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","France","Incendiary","Unknown","Australasia & Oceania","Kanak Separatists"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","New Caledonia","Incendiary","Arson/Fire","Australasia & Oceania","Kanak Socialist National Liberation Front"
1984,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","New Caledonia","Unknown","Unknown","Australasia & Oceania","Kanak Socialist National Liberation Front"
1984,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","France","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","National Committee Against Independence (CNCI)"
1986,0,1,0,4,0,1,1,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Turkey","Explosives/Bombs/Dynamite","Vehicle","Australasia & Oceania","Greek Bulgarian Armenian Front"
1988,0,1,0,4,0,4,5,20,0,0,0,"Armed Assault","Police","France","Firearms","Handgun","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,0,0,4,0,0,1,0,0,0,0,"Assassination","Police","France","Unknown","Unknown","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,1,0,15,0,0,0,6,0,0,0,"Hostage Taking (Kidnapping)","Police","France","Firearms","Handgun","Australasia & Oceania","Kanak Socialist National Liberation Front"
1988,0,0,0,4,0,0,0,0,0,0,0,"Assassination","Violent Political Party","New Caledonia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","National Committee Against Independence (CNCI)"
1988,0,1,0,4,0,17,2,0,0,0,0,"Armed Assault","Police","France","Firearms","Automatic Weapon","Australasia & Oceania","Kanak Separatists"
1988,0,0,0,4,0,0,1,0,0,0,0,"Assassination","Police","France","Firearms","Rifle/Shotgun (non-automatic)","Australasia & Oceania","Kanak Separatists"
1988,0,1,0,4,0,1,1,0,0,0,0,"Assassination","Government (General)","France","Firearms","Automatic Weapon","Australasia & Oceania","Kanak Separatists"
1989,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Telecommunication","Papua New Guinea","Explosives/Bombs/Dynamite","Unknown Explosive Type","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Police","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Papua New Guinea","Firearms","Automatic Weapon","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Airports & Aircraft","Papua New Guinea","Incendiary","Unknown","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
1990,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Papua New Guinea","Firearms","Automatic Weapon","Australasia & Oceania","Bougainville Revolutionary Army (BRA)"
