"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,129,0,0,0,"Hijacking","Airports & Aircraft","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","Other"
1974,0,1,0,1,0,1,0,0,0,0,0,"Assassination","Government (General)","South Korea","Firearms","Handgun","East Asia","Other"
1974,0,1,0,4,0,0,7,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","United States","Incendiary","Unknown","East Asia","Maruseido (Marxist Youth League)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","United States","Incendiary","Unknown","East Asia","Maruseido (Marxist Youth League)"
1975,0,1,0,8,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,8,0,0,0,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","South Korea","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
1975,0,1,0,1,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Japan","Explosives/Bombs/Dynamite","Unknown Explosive Type","East Asia","East Asia Anti Japanese Armed Front"
