"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,0,0,3,0,0,0,0,0,0,0,"Assassination","Police","Uruguay","Firearms","Automatic Weapon","South America","Tupamaros (Uruguay)"
1970,0,1,0,5,0,0,0,0,0,0,0,"Armed Assault","Educational Institution","Uruguay","Firearms","Automatic Weapon","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Assassination","Military","United States","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,1,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (General)","Argentina","Unknown","Unknown","South America","Montoneros (Argentina)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Government (General)","Argentina","Firearms","Automatic Weapon","South America","Montoneros (Argentina)"
1970,0,1,0,5,0,0,0,0,0,0,0,"Unknown","Government (Diplomatic)","Switzerland","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,5,0,0,0,2,0,0,10,"Hostage Taking (Kidnapping)","Business","Germany","Unknown","Unknown","South America","Other"
1970,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (General)","Uruguay","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,5,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Government (Diplomatic)","United States","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,1,250000,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Brazil","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,1,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (General)","United States","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,5,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (General)","United States","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,6,0,0,0,-99,0,0,0,"Hostage Taking (Barricade Incident)","Telecommunication","Uruguay","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,2,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Uruguay","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Assassination","Government (General)","Uruguay","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Tupamaros (Uruguay)"
1970,0,1,0,3,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","United States","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","United States","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,6,0,0,2,0,0,0,0,"Armed Assault","Police","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Uruguay","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
1970,0,0,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Police","Uruguay","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Uruguay","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Journalists & Media","United States","Incendiary","Unknown","South America","Tupamaros (Uruguay)"
