"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (Diplomatic)","United States","Incendiary","Unknown","Eastern Europe","Extraparliamentary Opposition (APO)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","United States","Incendiary","Unknown","Eastern Europe","Extraparliamentary Opposition (APO)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","United States","Explosives/Bombs/Dynamite","Time Fuse","Eastern Europe","Extraparliamentary Opposition (APO)"
1972,0,1,0,4,0,26,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Eastern Europe","Croatian Nationalists"
1973,0,1,0,3,0,1,7,0,0,0,0,"Bombing/Explosion","Transportation","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Eastern Europe","Croatian Nationalists"
1977,0,1,0,4,0,1,7,0,0,0,0,"Bombing/Explosion","Transportation","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Eastern Europe","Croatian Nationalists"
1977,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Business","Germany","Firearms","Automatic Weapon","Eastern Europe","Red Army Faction (RAF)"
1982,0,1,0,1,0,1,0,0,0,0,0,"Assassination","Government (Diplomatic)","Turkey","Firearms","Unknown Gun Type","Eastern Europe","Armenian Secret Army for the Liberation of Armenia"
1982,0,1,0,1,0,1,0,0,0,0,0,"Assassination","Government (Diplomatic)","Turkey","Firearms","Handgun","Eastern Europe","Justice Commandos for the Armenian Genocide"
1983,0,1,0,2,0,2,4,0,0,0,0,"Assassination","Government (Diplomatic)","Turkey","Firearms","Unknown Gun Type","Eastern Europe","Justice Commandos for the Armenian Genocide"
1985,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","West Germany (FRG)","Explosives/Bombs/Dynamite","Unknown Explosive Type","Eastern Europe","Red Army Faction (RAF)"
1985,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Germany","Explosives/Bombs/Dynamite","Unknown Explosive Type","Eastern Europe","Red Army Faction (RAF)"
1988,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","West Germany (FRG)","Incendiary","Unknown","Eastern Europe","Internationalist Cells"
1988,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","West Germany (FRG)","Incendiary","Unknown","Eastern Europe","Internationalist Cells"
1988,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","West Germany (FRG)","Incendiary","Unknown","Eastern Europe","Internationalist Cells"
1990,0,1,0,4,0,3,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Soviet Union","Firearms","Automatic Weapon","Eastern Europe","Armenian Nationalists"
