"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","United States","Unknown","Unknown","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Israel","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,1,1,0,4,0,0,0,60,0,0,60,"Hostage Taking (Barricade Incident)","Business","Multinational","Firearms","Automatic Weapon","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,1,1,0,4,0,0,0,60,0,0,60,"Hostage Taking (Barricade Incident)","Business","Multinational","Firearms","Automatic Weapon","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,0,0,2,0,1,0,-99,0,0,0,"Hijacking","Airports & Aircraft","Israel","Firearms","Handgun","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","United States","Unknown","Unknown","Middle East & North Africa","Palestine Liberation Organization (PLO)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Utilities","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Maritime","Israel","Explosives/Bombs/Dynamite","Projectile (rockets, mortars, RPGs, etc.)","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Other"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Other"
1971,0,0,0,2,0,0,0,-99,0,0,0,"Hijacking","Airports & Aircraft","Jordan","Unknown","Unknown","Middle East & North Africa","Al-Fatah"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Other"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Government (General)","Egypt","Firearms","Automatic Weapon","Middle East & North Africa","Other"
1972,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Popular Front for the Liberation of Palestine (PFLP)"
