"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,7,0,0,0,1,8e+05,0,0,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Belgium","Unknown","Unknown","North America","23rd of September Communist League"
1970,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Police","United States","Firearms","Unknown Gun Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Educational Institution","United States","Explosives/Bombs/Dynamite","Projectile (rockets, mortars, RPGs, etc.)","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Black Nationalists"
1970,0,1,0,4,0,0,1,0,0,0,0,"Facility/Infrastructure Attack","Police","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Black Nationalists"
1970,0,1,0,3,0,0,0,0,0,0,0,"Bombing/Explosion","Educational Institution","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,2,0,0,0,0,"Armed Assault","Police","United States","Firearms","Unknown Gun Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Police","United States","Firearms","Unknown Gun Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Police","United States","Firearms","Rifle/Shotgun (non-automatic)","North America","Black Nationalists"
1970,0,1,0,3,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Black Nationalists"
1970,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (General)","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Utilities","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Puerto Rico","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Other Explosive Type","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,1,0,0,1,1,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Other Explosive Type","North America","Armed Revolutionary Independence Movement (MIRA)"
1970,0,1,0,4,0,0,7,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Other Explosive Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Vehicle","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","United States","Explosives/Bombs/Dynamite","Time Fuse","North America","Weather Underground, Weathermen"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","United States","Incendiary","Molotov Cocktail/Petrol Bomb","North America","Black Nationalists"
1970,0,1,0,4,0,2,0,0,0,0,0,"Assassination","Military","United States","Firearms","Unknown Gun Type","North America","Armed Commandos of Liberation"
1970,1,0,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Weather Underground, Weathermen"
1970,1,0,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Weather Underground, Weathermen"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","United States","Chemical","Poisoning","North America","Ku Klux Klan"
1970,0,0,0,2,0,2,0,0,0,0,0,"Bombing/Explosion","Unknown","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Puerto Rican Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Educational Institution","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Chicano Liberation Front"
1970,1,1,0,1,1,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Time Fuse","North America","Black Panthers"
1970,1,0,0,1,1,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Time Fuse","North America","Black Panthers"
1970,1,1,0,1,0,0,17,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Dynamite/TNT","North America","Black Panthers"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Other Explosive Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","Black Nationalists"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Educational Institution","United States","Incendiary","Arson/Fire","North America","Chicano Liberation Front"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Utilities","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","North America","New World Liberation Front (NWLF)"
1970,1,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Educational Institution","United States","Incendiary","Arson/Fire","North America","Chicano Liberation Front"
