"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","United States","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1970,0,1,0,4,0,1,0,1,7e+05,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Germany","Unknown","Unknown","Central America & Caribbean","Other"
1970,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Business","United States","Unknown","Unknown","Central America & Caribbean","Other"
1970,0,1,0,4,0,0,0,1,15000,15000,1,"Hostage Taking (Kidnapping)","Business","Nicaragua","Unknown","Unknown","Central America & Caribbean","Sandinista National Liberation Front (FSLN)"
1974,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Private Citizens & Property","Guatemala","Unknown","Unknown","Central America & Caribbean","Other"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Chile","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central America & Caribbean","Other"
1974,0,1,0,4,0,0,0,13,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Nicaragua","Firearms","Automatic Weapon","Central America & Caribbean","Sandinista National Liberation Front (FSLN)"
1975,0,1,0,4,0,2,0,0,0,0,0,"Armed Assault","Police","El Salvador","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1975,0,1,0,4,0,0,0,-99,0,0,0,"Hostage Taking (Barricade Incident)","Journalists & Media","El Salvador","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1975,0,1,0,4,0,11,0,-99,0,0,0,"Hostage Taking (Barricade Incident)","Journalists & Media","Nicaragua","Firearms","Automatic Weapon","Central America & Caribbean","Sandinista National Liberation Front (FSLN)"
1975,0,1,0,4,0,0,0,-99,0,0,0,"Hostage Taking (Barricade Incident)","Telecommunication","El Salvador","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1975,0,1,0,2,0,3,0,0,0,0,0,"Assassination","Violent Political Party","Guatemala","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1975,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Government (General)","Guatemala","Firearms","Automatic Weapon","Central America & Caribbean","Other"
1976,0,1,0,4,0,2,0,0,0,0,0,"Armed Assault","Police","Guatemala","Firearms","Handgun","Central America & Caribbean","Other"
