"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1991,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Terrorists/Non-State Militia","Soviet Union","Firearms","Automatic Weapon","Central Asia","Other"
1992,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,0,1,0,50,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (General)","Georgia","Incendiary","Unknown","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,0,1,0,4,0,1,0,2,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Georgia","Firearms","Handgun","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,0,1,0,4,0,0,0,6,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Georgia","Unknown","Unknown","Central Asia","Supporters of Ex-President Gamsakhurdial"
1992,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Government (General)","Tajikistan","Firearms","Automatic Weapon","Central Asia","People's Democratic Army"
1992,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Food or Water Supply","Tajikistan","Firearms","Automatic Weapon","Central Asia","People's Democratic Army"
1992,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Educational Institution","Tajikistan","Firearms","Automatic Weapon","Central Asia","People's Democratic Army"
1992,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Utilities","Tajikistan","Firearms","Automatic Weapon","Central Asia","People's Democratic Army"
1994,0,1,0,4,0,0,1,0,0,0,0,"Unknown","Police","Azerbaijan","Unknown","Unknown","Central Asia","Other"
1995,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Russia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Other"
1997,0,1,0,4,0,0,0,3,0,0,0,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Russia","Firearms","Unknown Gun Type","Central Asia","Other"
1997,0,1,0,4,0,0,0,2,0,0,2,"Hostage Taking (Kidnapping)","Private Citizens & Property","Tajikistan","Firearms","Unknown Gun Type","Central Asia","Other"
1997,0,1,0,4,0,10,0,0,0,0,0,"Unknown","Police","Georgia","Unknown","Unknown","Central Asia","Other"
1997,0,1,0,4,0,1,0,2,0,0,2,"Hostage Taking (Kidnapping)","Government (Diplomatic)","France","Unknown","Unknown","Central Asia","Other"
1998,0,1,0,4,0,0,0,10,0,0,10,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Multinational","Firearms","Unknown Gun Type","Central Asia","Other"
1998,0,1,0,4,0,8,2,0,0,0,0,"Bombing/Explosion","Private Citizens & Property","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Other"
1998,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Transportation","Tajikistan","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Other"
1999,0,1,0,4,0,0,4,0,0,0,0,"Bombing/Explosion","Government (General)","Georgia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Other"
1999,0,1,0,30,0,0,0,7,5e+06,-99,7,"Hostage Taking (Kidnapping)","Business","Japan","Firearms","Unknown Gun Type","Central Asia","Other"
1999,0,1,0,4,0,0,5,10,0,0,6,"Hostage Taking (Kidnapping)","Private Citizens & Property","Kyrgyzstan","Firearms","Automatic Weapon","Central Asia","Other"
1999,0,1,0,4,0,1,2,0,0,0,0,"Bombing/Explosion","Military","Kyrgyzstan","Explosives/Bombs/Dynamite","Land Mine","Central Asia","Other"
2000,0,1,0,4,0,2,0,0,0,0,0,"Armed Assault","Police","Kazakhstan","Firearms","Unknown Gun Type","Central Asia","Other"
2004,1,1,1,1,0,3,1,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Israel","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Central Asia","Islamic Jihad Group (IJG)"
2004,1,1,1,1,0,2,1,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","United States","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Central Asia","Islamic Jihad Group (IJG)"
2004,1,1,1,1,0,2,4,0,0,0,0,"Bombing/Explosion","Government (General)","Uzbekistan","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Central Asia","Islamic Jihad Group (IJG)"
2005,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","Tajikistan","Explosives/Bombs/Dynamite","Unknown Explosive Type","Central Asia","Other"
2008,0,1,0,4,0,0,1,0,0,0,0,"Armed Assault","Police","Georgia","Firearms","Other Gun Type","Central Asia","South Ossetian Separatists"
2008,1,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","NGO","Georgia","Explosives/Bombs/Dynamite","Projectile (rockets, mortars, RPGs, etc.)","Central Asia","South Ossetian Separatists"
