"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,3,0,1,0,0,0,0,0,"Armed Assault","Airports & Aircraft","Israel","Firearms","Automatic Weapon","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,7,9,0,0,0,0,"Facility/Infrastructure Attack","Private Citizens & Property","Germany","Incendiary","Unknown","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Austria","Explosives/Bombs/Dynamite","Pressure Trigger","Western Europe","Other"
1970,0,1,0,4,0,47,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Switzerland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Other"
1970,0,0,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Ethiopia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","Germany","Incendiary","Molotov Cocktail/Petrol Bomb","Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Business","United States","Firearms","Automatic Weapon","Western Europe","Other"
1970,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Government (General)","Germany","Firearms","Automatic Weapon","Western Europe","Other"
1970,0,0,0,4,0,5,0,0,0,0,0,"Armed Assault","Terrorists/Non-State Militia","Northern Ireland","Incendiary","Unknown","Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,3,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,3,1,0,0,0,0,"Armed Assault","Religious Figures/Institutions","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Ulster Volunteer Force (UVF)"
1970,0,0,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Yugoslavia","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Croatian Nationalists"
1970,0,1,0,4,0,2,0,0,0,0,0,"Bombing/Explosion","Police","Northern Ireland","Explosives/Bombs/Dynamite","Vehicle","Western Europe","Irish Republican Army (IRA)"
1970,0,0,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Terrorists/Non-State Militia","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1970,1,1,0,2,0,0,0,155,0,0,155,"Hijacking","Airports & Aircraft","United States","Explosives/Bombs/Dynamite","Grenade","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,2,0,0,0,155,0,0,155,"Hijacking","Airports & Aircraft","Switzerland","Unknown","Unknown","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,9,0,0,0,175,0,0,175,"Hijacking","Airports & Aircraft","United States","Firearms","Handgun","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1970,0,1,0,4,0,0,0,3,0,0,3,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Egypt","Unknown","Unknown","Western Europe","Jewish Defense League (JDL)"
1970,0,1,0,4,0,2,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1970,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Germany","Unknown","Unknown","Western Europe","Basque Fatherland and Freedom (ETA)"
1970,0,1,0,4,0,1,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Extremists"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Extremists"
1971,0,1,0,4,0,5,0,0,0,0,0,"Bombing/Explosion","Military","Great Britain","Explosives/Bombs/Dynamite","Land Mine","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,2,0,0,0,-99,0,0,0,"Armed Assault","Government (Diplomatic)","Yugoslavia","Firearms","Automatic Weapon","Western Europe","Croatian Nationalists"
1971,0,1,0,4,0,2,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,3,0,0,0,0,0,0,0,"Armed Assault","Business","Germany","Firearms","Automatic Weapon","Western Europe","Baader-Meinhof Group"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Military","Great Britain","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Utilities","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1971,0,1,0,4,0,1,2,0,0,0,0,"Assassination","Government (Diplomatic)","Yugoslavia","Unknown","Unknown","Western Europe","Croatian Nationalists"
1971,0,0,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Government (Diplomatic)","France","Unknown","Unknown","Western Europe","Basque Fatherland and Freedom (ETA)"
1971,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","France","Unknown","Unknown","Western Europe","Basque Fatherland and Freedom (ETA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Extremists"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Extremists"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Airports & Aircraft","Jordan","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Black September"
1971,0,1,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Hijacking","Airports & Aircraft","Israel","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Popular Front for the Liberation of Palestine (PFLP)"
1971,0,0,0,4,0,1,0,0,0,0,0,"Assassination","Military","Great Britain","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Government (General)","Germany","Incendiary","Unknown","Western Europe","Baader-Meinhof Group"
1971,0,1,0,4,0,2,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1971,0,0,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Utilities","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Military","Great Britain","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Ulster Volunteer Force (UVF)"
1971,0,1,0,4,0,2,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Military","Great Britain","Firearms","Rifle/Shotgun (non-automatic)","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,2,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,3,0,0,0,0,0,"Bombing/Explosion","Business","Northern Ireland","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,2,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Maritime","Netherlands","Firearms","Unknown Gun Type","Western Europe","Irish Republican Extremists"
1971,0,1,0,4,0,1,0,0,0,0,0,"Armed Assault","Military","Great Britain","Firearms","Unknown Gun Type","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Northern Ireland","Firearms","Rifle/Shotgun (non-automatic)","Western Europe","Irish Republican Army (IRA)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (General)","Spain","Explosives/Bombs/Dynamite","Unknown Explosive Type","Western Europe","Basque Fatherland and Freedom (ETA)"
